CitizenSciID	Motivation	Recruitment	Age	Education	Occupation	RuralUrban	Gender	Ability	Experience
2	1	2	2	0	1	0	0	2	2
4	0	1	2	2	2	2	1	2	0
7	0	1	2	2	2	1	1	2	0
10	1	2	1	0	1	0	1	1	2
16	1	1	1	1	2	2	1	2	2
23	0	1	1	1	2	2	1	2	2
24	0	0	1	1	2	2	0	1	0
39	1	2	1	0	2	1	1	2	2
40	0	1	1	1	2	2	0	2	2
52	0	1	1	1	2	1	1	2	0
75	1	2	1	1	1	1	1	2	2
89	0	0	1	1	2	1	0	2	1
91	1	2	2	1	1	0	1	2	0
100	1	2	1	1	2	1	0	1	2
106	1	2	1	0	0	0	0	0	0
107	1	2	1	1	2	1	0	2	1
115	1	2	0	0	2	1	1	2	1
123	1	1	0	0	2	1	1	1	1
143	1	1	2	1	2	1	1	1	1
168	0	0	1	1	2	2	1	2	2
174	0	0	1	1	2	1	1	1	0
195	0	1	1	1	2	1	1	1	2
210	0	0	1	1	2	1	0	2	0
211	0	0	1	1	2	2	0	2	2
214	0	1	1	1	2	2	1	2	2
215	0	0	1	1	2	1	0	2	2
218	1	1	1	1	2	1	1	1	0
223	0	0	1	1	2	1	1	2	1
225	1	2	2	0	1	1	1	1	1
226	0	0	1	1	2	2	1	2	0
229	0	0	1	1	2	1	0	2	0
232	0	0	1	1	2	1	0	2	2
233	0	0	0	1	2	1	0	2	0
235	0	0	1	1	2	1	0	2	2
236	0	0	1	1	2	2	1	2	1
237	0	0	1	1	2	1	0	2	0
241	0	0	1	1	2	1	0	2	0
242	0	1	2	2	1	1	1	2	2
243	0	0	1	1	2	1	0	2	1
244	0	0	1	1	2	1	1	2	1
245	0	0	1	1	2	1	0	2	1
247	0	0	0	1	2	1	0	2	1
248	0	0	1	1	2	1	1	2	2
249	0	0	1	1	2	2	0	2	2
250	0	0	1	1	2	2	0	2	2
252	0	0	1	1	2	2	1	1	2
253	0	0	1	1	2	1	1	2	2
254	0	0	1	1	2	1	1	2	1
257	0	0	1	1	2	1	0	2	2
259	0	0	1	1	2	1	1	2	0
262	0	1	2	2	1	1	1	2	1
268	0	0	1	1	2	1	1	1	2
271	0	3	1	1	2	1	0	2	2
277	0	0	1	1	2	1	1	0	0
278	1	2	0	0	2	1	1	1	2
279	1	2	2	0	1	0	1	1	2
280	1	0	2	0	1	1	1	1	2
283	0	1	1	1	2	2	1	2	2
285	0	3	1	1	2	1	1	1	2
291	0	3	0	0	2	1	1	1	2
292	1	2	0	0	2	1	1	2	2
295	0	0	0	0	2	2	0	1	0
298	1	2	2	0	0	0	0	2	1
299	1	2	1	1	2	0	0	1	2
301	0	1	1	1	2	1	0	1	0
308	0	0	1	1	2	2	1	1	1
309	0	0	1	1	2	2	1	2	2
311	0	0	1	1	2	1	1	2	1
312	0	1	1	1	2	2	1	2	0
313	0	1	2	2	1	2	1	1	2
314	0	0	1	1	2	2	1	1	1
315	1	2	2	0	1	0	1	0	0
316	0	1	1	1	2	1	1	2	0
318	0	0	1	1	2	1	1	2	1
321	0	1	1	1	2	2	0	2	0
324	0	0	1	1	2	1	1	1	1
332	0	0	1	1	2	2	1	2	1
333	0	1	2	1	1	1	0	1	2
335	0	3	1	0	2	1	0	2	2
336	0	1	1	1	2	1	1	1	0
338	0	1	2	2	1	1	1	1	2
339	0	1	1	1	2	1	1	2	1
340	0	0	1	1	2	2	0	2	1
341	0	0	1	1	2	2	0	2	0
345	0	1	1	1	2	0	0	2	2
346	0	0	0	1	2	2	0	2	0
347	0	1	1	1	2	1	1	0	1
350	0	1	1	1	2	1	1	2	2
351	0	3	2	1	1	2	0	1	1
352	0	0	2	2	2	1	0	1	2
353	0	0	2	1	2	2	1	2	1
354	0	3	2	1	1	1	0	2	2
358	1	1	0	0	2	2	1	2	2
360	1	2	1	1	2	1	0	2	2
361	0	0	0	0	2	2	1	2	0
362	0	1	1	1	2	1	1	2	0
364	0	0	1	1	2	2	1	2	1
369	1	1	1	1	0	1	1	2	1
371	0	1	1	0	2	1	1	2	1
372	0	1	0	0	2	0	1	2	0
378	1	1	0	0	2	1	1	1	2
379	1	1	1	1	2	1	1	1	2
380	1	2	0	0	2	1	1	2	1
381	0	3	1	2	2	1	0	2	2
382	0	3	2	2	1	2	1	2	1
384	1	2	1	1	2	1	0	2	0
386	0	1	1	1	2	1	1	2	1
390	0	1	1	1	2	2	1	2	1
397	0	1	2	0	2	2	1	2	0
